sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.0002,2.0000000000000003e-06,2.0,0.0,0.0,0.0
10000000.0,0.0002,2.0000000000000003e-06,2.0,4.081632653061225e-06,0.9898045332888458,101954.66711154232
10000000.0,0.0002,2.0000000000000003e-06,2.0,8.16326530612245e-06,0.9852125483470828,147874.51652917173
10000000.0,0.0002,2.0000000000000003e-06,2.0,1.2244897959183674e-05,0.9839428002848899,160571.99715110104
10000000.0,0.0002,2.0000000000000003e-06,2.0,1.63265306122449e-05,0.9834957076641845,165042.92335815518
10000000.0,0.0002,2.0000000000000003e-06,2.0,2.0408163265306126e-05,0.9833716095859709,166283.9041402908
10000000.0,0.0002,2.0000000000000003e-06,2.0,2.448979591836735e-05,0.9834041566450875,165958.43354912486
10000000.0,0.0002,2.0000000000000003e-06,2.0,2.8571428571428574e-05,0.983522224221338,164777.75778662052
10000000.0,0.0002,2.0000000000000003e-06,2.0,3.26530612244898e-05,0.9836903910521537,163096.08947846276
10000000.0,0.0002,2.0000000000000003e-06,2.0,3.673469387755102e-05,0.9838890989699571,161109.01030042866
10000000.0,0.0002,2.0000000000000003e-06,2.0,4.081632653061225e-05,0.9841067169811889,158932.830188111
10000000.0,0.0002,2.0000000000000003e-06,2.0,4.4897959183673474e-05,0.9843359341900889,156640.65809911088
10000000.0,0.0002,2.0000000000000003e-06,2.0,4.89795918367347e-05,0.9845719564018461,154280.4359815386
10000000.0,0.0002,2.0000000000000003e-06,2.0,5.3061224489795926e-05,0.9848115351878829,151884.64812117108
10000000.0,0.0002,2.0000000000000003e-06,2.0,5.714285714285715e-05,0.9850524131775135,149475.86822486535
10000000.0,0.0002,2.0000000000000003e-06,2.0,6.122448979591838e-05,0.9852929913327987,147070.08667201316
10000000.0,0.0002,2.0000000000000003e-06,2.0,6.53061224489796e-05,0.9855321210851685,144678.78914831477
10000000.0,0.0002,2.0000000000000003e-06,2.0,6.938775510204082e-05,0.9857689699167255,142310.30083274533
10000000.0,0.0002,2.0000000000000003e-06,2.0,7.346938775510205e-05,0.9860029318213173,139970.68178682736
10000000.0,0.0002,2.0000000000000003e-06,2.0,7.755102040816328e-05,0.9862335661079094,137664.33892090645
10000000.0,0.0002,2.0000000000000003e-06,2.0,8.16326530612245e-05,0.9864605546238898,135394.45376110182
10000000.0,0.0002,2.0000000000000003e-06,2.0,8.571428571428573e-05,0.9866836712559841,133163.28744015892
10000000.0,0.0002,2.0000000000000003e-06,2.0,8.979591836734695e-05,0.9869027598001193,130972.40199880677
